                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3069,                 3.8065,                 1.5618,                      0,                      0,                      0,                      0,                      0,                 32.812,                      0,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 1.2527,                   3.83,                 1.5291,                      0,                      0,                      0,                      0,                      0,                 32.812,                      0,              7.623e-05,              7.623e-05,              7.623e-05
                      3,                 1.0429,                  3.527,                 1.3568,                      0,                      0,                      0,                      0,                      0,                 32.812,                      0,             0.00011737,             0.00011737,             0.00011737
                      4,                 1.0689,                 3.0659,                 1.3425,                      0,                      0,                      0,                      0,                      0,                 32.844,                      0,             0.00015675,             0.00015675,             0.00015675
                      5,                0.98974,                 2.5538,                 1.2479,                      0,                      0,                      0,                      0,                      0,                 33.125,                      0,             0.00019437,             0.00019437,             0.00019437
                      6,                0.91906,                 2.2762,                 1.2153,                      0,                      0,                      0,                      0,                      0,                 33.094,                      0,             0.00023023,             0.00023023,             0.00023023
                      7,                0.93815,                  2.181,                  1.201,                      0,                      0,                      0,                      0,                      0,                 32.812,                      0,             0.00026433,             0.00026433,             0.00026433
                      8,                0.89596,                 2.0764,                 1.1856,                      0,                      0,                      0,                      0,                      0,                 31.938,                      0,             0.00029667,             0.00029667,             0.00029667
                      9,                0.90436,                 1.9568,                 1.2161,                      0,                      0,                      0,                      0,                      0,                 30.875,                      0,             0.00032726,             0.00032726,             0.00032726
                     10,                0.89031,                 1.7063,                 1.1663,                      0,                      0,                      0,                      0,                      0,                 29.453,                      0,             0.00035608,             0.00035608,             0.00035608
                     11,                0.84479,                  1.608,                 1.1456,                      0,                      0,                      0,                      0,                      0,                 30.188,                      0,             0.00038314,             0.00038314,             0.00038314
                     12,                0.85553,                 1.5731,                 1.1225,                      0,                      0,                      0,                      0,                      0,                 30.797,                      0,             0.00040844,             0.00040844,             0.00040844
                     13,                0.85416,                 1.4241,                 1.1033,                      0,                      0,                      0,                      0,                      0,                 30.734,                      0,             0.00043198,             0.00043198,             0.00043198
                     14,                0.85867,                 1.4113,                 1.1336,                      0,                      0,                      0,                      0,                      0,                 31.422,                      0,             0.00045377,             0.00045377,             0.00045377
                     15,                 0.7729,                 1.2636,                 1.0771,                      0,                      0,                      0,                      0,                      0,                 32.625,                      0,             0.00047379,             0.00047379,             0.00047379
                     16,                0.83112,                 1.2494,                 1.0997,                      0,                      0,                      0,                      0,                      0,                 35.406,                      0,             0.00049205,             0.00049205,             0.00049205
                     17,                0.84898,                  1.261,                 1.1067,                      0,                      0,                      0,                      0,                      0,                 35.594,                      0,             0.00050855,             0.00050855,             0.00050855
                     18,                0.83061,                 1.3518,                 1.1093,                      0,                      0,                      0,                      0,                      0,                 47.219,                      0,              0.0005233,              0.0005233,              0.0005233
                     19,                0.81368,                  1.217,                  1.074,                      0,                      0,                      0,                      0,                      0,                 56.906,                      0,             0.00053628,             0.00053628,             0.00053628
                     20,                  0.757,                 1.1727,                 1.0615,                      0,                      0,                      0,                      0,                      0,                 60.094,                      0,              0.0005475,              0.0005475,              0.0005475
